sample	Shannon	csp_rel	site	compartment	trip	S	Cl	Na	P
V20PRr1	6.285836879282067	0.0001537274612625	20	rhizosphere	5	0.022	0.034	0.43	0.0
V20PRr2	5.903657465832879	0.0004261190349778	20	rhizosphere	5	0.022	0.034	0.43	0.0
V20PRr3	6.164918466247619	0.0001433728803528	20	rhizosphere	5	0.022	0.034	0.43	0.0
V20Sr2	5.96635233156714	0.0010819737017126	20	surface	5	0.03	0.0	0.34	0.0
V21Dr1	6.419188665621339	0.0045733561201042	21	deep	5	0.0	0.041	0.15	0.11
V21Dr2	6.4391231171779	0.0014585530157728	21	deep	5	0.0	0.041	0.15	0.11
V21PRr1RE	6.486418634881328	0.0037353384081897	21	rhizosphere	5	0.0	0.0	0.2	0.0
V21PRr1	6.825869836466444	0.0047882115736957	21	rhizosphere	5	0.0	0.0	0.2	0.0
V21PRr2RE	6.51633912765924	0.0041461119359611	21	rhizosphere	5	0.0	0.0	0.2	0.0
V21PRr2	6.758985517696384	0.0034095278668389	21	rhizosphere	5	0.0	0.0	0.2	0.0
V21PRr3RE	6.071089812627837	0.0031742331793064	21	rhizosphere	5	0.0	0.0	0.2	0.0
V21PRr3	6.219115987959624	0.0023024517431346	21	rhizosphere	5	0.0	0.0	0.2	0.0
V21Sr3	7.333976584683975	0.0082648186822907	21	surface	5	0.039	0.0	0.18	0.0
V22PRr2	6.532367542115723	0.0001271236762829	22	rhizosphere	5	0.049	0.042	0.092	0.042
V23Dr1	7.156791071135077	0.0068125630053135	23	deep	5	0.063	0.044	0.49	0.16
V23PRr1	7.48525766496414	0.0052822760024239	23	rhizosphere	5	0.023	0.036	0.4	0.037
V23PRr2	7.464104144741901	0.0037055624537615	23	rhizosphere	5	0.023	0.036	0.4	0.037
V24Dr1	5.724478280939149	0.0072353870458135	24	deep	5	0.028	0.0	0.37	0.29
V24PRr1	7.391429244651581	0.0055225058922736	24	rhizosphere	5	0.0	0.051	0.13	0.04
V24PRr3	6.863915146224193	0.0045498806518048	24	rhizosphere	5	0.0	0.051	0.13	0.04
V25Dr3	6.942061364649908	0.0047635428195387	25	deep	5	0.009	0.13	0.43	0.16
V25PRr1	5.816038864902534	0.0060513910480341	25	rhizosphere	5	0.003	0.043	0.054	0.0
V25PRr2	5.701189086497736	0.0045907015350604	25	rhizosphere	5	0.003	0.043	0.054	0.0
V25PRr3	5.8748576015449485	0.0110033148139502	25	rhizosphere	5	0.003	0.043	0.054	0.0
V25Sr2	6.663376628769209	0.0044951402932105	25	surface	5	0.004	0.009	0.0	0.0
V25Sr3	6.788768518604426	0.0058284103327578	25	surface	5	0.004	0.009	0.0	0.0
V26Dr2	6.733085009016507	0.0085857393084174	26	deep	5	0.045	0.17	0.0	0.94
V26Dr3	6.697490245815354	0.0066056068306136	26	deep	5	0.045	0.17	0.0	0.94
V26PRr1	6.923702055728667	0.0197409700237284	26	rhizosphere	5	0.0	0.0	0.19	0.0
V26PRr2	6.8941027051945385	0.009796381849277	26	rhizosphere	5	0.0	0.0	0.19	0.0
V26Sr2	6.940001994516361	0.0205697427118192	26	surface	5	0.072	0.0	0.13	0.0
V27Dr2	6.89637980848588	0.015299422035283	27	deep	5	0.048	0.11	0.4	0.24
V27Dr3	6.921965494935353	0.015204522652378	27	deep	5	0.048	0.11	0.4	0.24
V27PRr1	5.583492777875401	0.0001814299128891	27	rhizosphere	5	0.0	0.084	0.49	0.0
V27PRr2	5.936716726168484	0.0002303981833564	27	rhizosphere	5	0.0	0.084	0.49	0.0
V27PRr3	5.520806780416911	0.0003261177452778	27	rhizosphere	5	0.0	0.084	0.49	0.0
V28Dr1	7.231885827342389	0.0223216402196549	28	deep	5	0.077	0.046	0.14	0.16
V28Dr3	6.921876340946238	0.0143221014667244	28	deep	5	0.077	0.046	0.14	0.16
V28PRr1	3.947191819925535	0.0018734614742253	28	rhizosphere	5	0.031	0.0	0.13	0.042
V28PRr2	5.07719285582856	0.0046371101129872	28	rhizosphere	5	0.031	0.0	0.13	0.042
V28PRr3	5.957390235246284	0.0024753119674123	28	rhizosphere	5	0.031	0.0	0.13	0.042
V29PRr2	6.751709081435607	0.0128510144804461	29	rhizosphere	5	0.025	0.07	0.22	0.0
V29PRr3	6.6387070633138645	0.0238645569514845	29	rhizosphere	5	0.025	0.07	0.22	0.0
V2Dr1	5.913882597642477	0.0	2	deep	5	0.017	0.13	0.0	0.11
V2Dr2	6.439182460325917	3.477468611498945e-05	2	deep	5	0.017	0.13	0.0	0.11
V2PRr1	6.600551717684431	0.0003043399798737	2	rhizosphere	5	0.072	0.12	0.2	0.11
V2PRr2	6.669106866273619	0.0004690883351971	2	rhizosphere	5	0.072	0.12	0.2	0.11
V2PRr3	6.79671271667671	0.0001509389443295	2	rhizosphere	5	0.072	0.12	0.2	0.11
V2Sr1	6.697876824601222	0.0001404403025231	2	surface	5	0.067	0.16	0.24	0.0
V2Sr2	6.668763506274081	3.546602354943964e-05	2	surface	5	0.067	0.16	0.24	0.0
V30PRr1	6.124525018354079	0.0070418792517006	30	rhizosphere	5	0.041	0.0	0.34	0.0
V30PRr2	6.119163575515557	0.0081929413149916	30	rhizosphere	5	0.041	0.0	0.34	0.0
V30PRr3	5.301085411687517	0.0086101816733764	30	rhizosphere	5	0.041	0.0	0.34	0.0
V30Sr2	6.960605353015559	0.0182213961322689	30	surface	5	0.025	0.042	0.15	0.041
V31Dr1	6.190246358535238	0.0251753874553532	31	deep	5	0.045	0.069	0.015	0.06
V31Dr3	6.48084944424996	0.020074239531559	31	deep	5	0.045	0.069	0.015	0.06
V32PRr1	6.319608752236793	0.0329631739080395	32	rhizosphere	5	0.049	0.0	0.15	0.0
V32PRr2	6.713501952053058	0.011273675465928	32	rhizosphere	5	0.049	0.0	0.15	0.0
V32PRr3	7.480184702197517	0.0028887968231689	32	rhizosphere	5	0.049	0.0	0.15	0.0
V33PRr1	5.345352105976838	0.0005442610789195	33	rhizosphere	5	0.061	0.042	0.083	0.087
V33PRr2	6.298739837887474	0.0173051908586789	33	rhizosphere	5	0.061	0.042	0.083	0.087
V33PRr3	6.359071566593734	0.0080675191426052	33	rhizosphere	5	0.061	0.042	0.083	0.087
V34Dr2	6.489752502589147	0.0213380643781849	34	deep	5	0.12	0.09	0.32	0.16
V34PRr1	5.894048667556289	0.0022579112115518	34	rhizosphere	5	0.002	0.041	0.1	0.097
V34PRr2	6.047102318809542	0.0016154281448855	34	rhizosphere	5	0.002	0.041	0.1	0.097
