#OTU ID	CTL_Ctrl1_Trip1	CTL_Ctrl2	CTL_Ctrl3	CTL_ExtractionCtrlPro_Trip1	CTL_NTC2	CTL_NegCtrl1_Trip2	CTL_NegCtrl2_Trip2	CTL_PCRCtrl_Trip1	TRIP4_EB1	TRIP4_EB2	TRIP4_EB3	TRIP4_EB4	TRIP4_EB5	TRIP4_SEB
5ae7b1191f2694b3c58f52bf3b23c240	0	0	0	0	0	0	0	0	0	1317	330	117	391	0
ddfb53391b50bf2b508dc6ff6135afea	0	0	0	2130	0	0	0	0	0	0	0	0	0	16
786dd80fe35c02950aca3bd892d74f4e	0	0	0	2103	0	0	0	0	0	0	0	0	0	0
7de3b396cf072aa43bdc7d79879629d7	0	969	662	0	0	317	151	0	0	0	0	0	0	0
cc034df55cd5317e710676fc3ef71bc3	0	0	0	2049	0	24	0	0	0	0	0	0	0	26
cbb1675204ab1f18d3990823de5207a6	0	0	0	0	0	0	0	0	2078	0	0	0	0	0
01cb4635362e5e721eea77075b2ef1a6	0	1173	574	0	0	147	92	44	0	0	0	0	0	0
1f450b24be1f06e0a31207cfd6fbfe24	0	0	0	0	0	0	0	0	0	2023	0	0	0	0
3b4088a8b99b703818deeb271ca7b004	0	0	0	0	0	0	0	0	2009	0	0	0	0	0
abd4f99479c005a3751e5e15b4425517	0	0	0	2003	0	0	0	0	0	0	0	0	0	0
470269a870f348d1a1b6cf449fb02460	0	27	12	0	0	0	0	67	0	1888	0	0	0	0
713cf6a2cda2efc43368327fc9c912ce	0	0	0	327	0	0	0	0	1641	0	0	0	0	0
4b7eca53a7ce0b6c6eb8999313cc8cbe	0	0	0	1962	0	0	0	0	0	0	0	0	0	0
07bc6143551e38126cbac2eb9c5f5a51	0	333	565	820	0	139	91	0	0	0	0	0	0	0
b9d19830d1cab75099a90cb9368092e6	0	0	0	1944	0	0	0	0	0	0	0	0	0	0
1a8e05914f219e58e4f400a0ca2544fb	0	0	0	0	0	0	0	0	1936	0	0	0	0	0
ff5b03d0764e42ae5463c8a20adf5542	0	0	0	0	0	0	0	0	37	1362	0	0	526	0
0a4d35b534f919c3c0ed5985192f5c2f	0	0	0	94	0	0	0	0	1779	0	0	0	0	22
a9980ab46cd10503cc316c65aafd583e	0	0	0	0	0	0	0	0	1880	0	0	0	0	0
2022f09cdd7c19a26cd1a7a40b1ec6bb	0	0	0	0	0	0	0	0	0	1857	0	0	0	0
9e6eb3a5bd225bf92bcfd62406bda049	0	442	309	889	0	101	95	0	0	0	0	0	0	0
75f7abfe634de4a6fce0fb1731844547	0	0	0	0	0	0	0	0	1832	0	0	0	0	0
9b05ad3922f1c056d6359fc05cd34b62	0	351	793	468	0	132	65	19	0	0	0	0	0	0
52927cdbb5b77c41e2ad7c9647ad2e0e	0	181	664	0	0	515	462	0	0	0	0	0	0	0
6b01e296d04b8091fb7a6f5cb8dda6ae	0	0	0	0	0	0	0	0	1765	0	0	0	0	49
3f1479183d874390d296721c32fd01ab	0	679	624	3	0	256	248	0	0	0	0	0	0	0
