library	campaign	site	position	recruited_pct	coxL_CO_dehydrogenase	NiFe_hydrogenase_large	rbcL_RuBisCO	psbA_photosystem_II	nifH_nitrogenase	amoA_pmoA_ammonia_monooxygenase	nirK_nirS_nitrite_reductase	nosZ_N2O_reductase	ureC_urease	otsA_otsB_trehalose	treY_treZ_trehalose	ectABC_ectoine	crtB_phytoene_synthase	spo0A_sporulation	phrB_photolyase	uvrA_excision_repair	recA_recombination_repair	katE_katG_catalase	sodA_superoxide_dismutase	dps_DNA_protection
64PRr2	1	64	Rhizosphere	23.71765702	0.6739884579	0.1210933882	0.1417586609	0.001426406831	0.1565467743	0.002257610706	0.2684972673	0.1359426318	0.4576589066	0.9821080512	0.9018364111	0.4403962265	0.528801419	0.01214045639	0.6132353112	0.9234417985	0.9694333818	0.9349821356	0.8698096405	0.7755833516
64Sr2	1	64	Surface	19.74800136	0.4457768466	0.1008462208	0.2093928805	0.000551724491	0.002897391774	0.01034437176	0.334015107	0.03407183579	0.3261664967	0.8964034224	0.8198388742	0.4371935823	0.6929790314	0.05709241905	0.3285458624	0.9204195905	0.9177128476	0.9188783386	0.7627230208	0.7706382238
6Dr1	1	6	Deep	13.28338468	0.4598607431	0.6124270869	0.3122052487	0	0	0.05034780095	0.4939677608	0.0865895015	0.1917971474	0.94139253	0.8595636702	0.1678326247	0.5833187576	0.02586363793	0.09466191546	0.8674654257	0.8931646922	0.7194728172	0.4485565239	0.266979257
6PRr2	1	6	Rhizosphere	30.17939255	0.3047723703	0.0421299968	0.1167382914	0.0005713959939	0.0008898673477	0.001764747104	0.1363471389	0.002636773258	0.3467775437	0.8743311411	0.8335539081	0.2138522186	0.4999986177	0.1015120943	0.3385555289	0.9643511108	0.9379303514	0.9132628009	0.7937880364	0.7512809098
7PRr2	1	7	Rhizosphere	34.62064867	0.361343363	0.09020268464	0.1702816404	0.00040432414	0.004440136081	0.006584376531	0.2199864508	0.007808659981	0.4026588649	0.8622143143	0.8716982722	0.3049904559	0.5471217635	0.06006114822	0.2428402362	0.9475550066	0.9170425273	0.8721574418	0.8003463893	0.7763317044
9Dr3	1	9	Deep	28.37253659	0.4763945656	0.5835986165	0.3853381517	0.0002906705917	0	0.1100697401	0.5407830793	0.01012137245	0.1287830199	0.9554108985	0.8531742303	0.3510526413	0.5248592989	0.0213557556	0.1454757267	0.9172117295	0.9561005888	0.7125682033	0.524569033	0.2891482015
9Sr2	1	9	Surface	22.25889616	0.4740903895	0.1859622103	0.1710183126	0.0006393570416	0	0.01912298929	0.3406434858	0.1435138603	0.2308495786	0.7816561075	0.6530815434	0.2972377289	0.7411759873	0.02622447707	0.5189881321	0.9575297974	0.7967789418	0.884672358	0.6704775356	0.5624080207
F10PRr1	3	10	Rhizosphere	36.75403042	0.146382852	0.04327699572	0.07790000767	0.0002274179159	0	0.005260762507	0.08607779277	0.01337697651	0.2525822154	0.8074913584	0.5639688198	0.1679011287	0.6444040046	0.1356062797	0.5963186813	0.9764428229	0.9352353031	0.9230507705	0.8836825559	0.8436106793
F12Dr1	3	12	Deep	16.75256582	0.5205690794	0.5532287985	0.2574643706	0.001861595253	0	0.1069378008	0.5020489219	0.08147302299	0.237274857	0.8671513808	0.8223388955	0.2019377704	0.4488237705	0.03463596238	0.06946693299	0.8672974341	0.8641377248	0.6318804803	0.5381647883	0.3204193424
F12PRr3	3	12	Rhizosphere	37.44819335	0.2492998572	0.0259661491	0.08838331414	0	0	0.005023069705	0.07140916704	0.007836433184	0.3567056917	0.839223136	0.6866459914	0.1496596102	0.5872892308	0.03644081011	0.4661913666	0.9598787977	0.9065827805	0.9038830783	0.8839212704	0.8595346939
F13Dr1	3	13	Deep	30.78440944	0.5268928969	0.1966985182	0.1590421043	0.0003661238662	0	0.02278320267	0.3289479597	0.01584298344	0.4144636394	0.923169907	0.8862035733	0.4109035858	0.6309211727	0.06127653381	0.1716962382	0.9587879078	0.9324844716	0.8555358244	0.5245614991	0.586364556
F13PRr1	3	13	Rhizosphere	46.63596324	0.5806967804	0.2682544673	0.1285170128	0	0.0004359876711	0.01659888239	0.1197716002	0.004835496929	0.2998508231	0.9256514217	0.6725805157	0.4876639651	0.7249325078	0.2473007552	0.187463533	0.9579080545	0.9100619337	0.9462362503	0.7924110401	0.7494645779
F14PRr2	3	14	Rhizosphere	44.13330545	0.7578529256	0.0578789342	0.2693170918	0	8.900073674e-05	0.01649948835	0.05614051875	0.00837571721	0.4978823378	0.9603945038	0.380971956	0.6390576238	0.5726474368	0.02739886209	0.1169629833	0.9867244808	0.8142631358	0.9860473448	0.8254883605	0.7128101127
