run_accession	sample_accession	sample_title	library_name	instrument_model	read_count	base_count	lat	lon	country	fastq_ftp	fastq_bytes	desert	bioproject
SRR5839316	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	35868	9908472	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5839316/SRR5839316.fastq.gz	3342773	Gurbantunggut	PRJNA376617
SRR5839243	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	39317	10855632	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5839243/SRR5839243.fastq.gz	3662338	Gurbantunggut	PRJNA376617
SRR5839319	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	39967	11034643	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5839319/SRR5839319.fastq.gz	3688395	Gurbantunggut	PRJNA376617
SRR5839322	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	44863	12385611	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5839322/SRR5839322.fastq.gz	4030581	Gurbantunggut	PRJNA376617
SRR5839244	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	39177	10816607	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5839244/SRR5839244.fastq.gz	3630802	Gurbantunggut	PRJNA376617
SRR5839245	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	41857	11555983	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5839245/SRR5839245.fastq.gz	3851155	Gurbantunggut	PRJNA376617
SRR5839323	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	37871	10457256	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5839323/SRR5839323.fastq.gz	3399849	Gurbantunggut	PRJNA376617
SRR5839246	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	33033	9120750	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5839246/SRR5839246.fastq.gz	3088930	Gurbantunggut	PRJNA376617
SRR5839261	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	43865	12115567	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5839261/SRR5839261.fastq.gz	4200830	Gurbantunggut	PRJNA376617
SRR5839337	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	39726	10973488	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/007/SRR5839337/SRR5839337.fastq.gz	3795906	Gurbantunggut	PRJNA376617
SRR5839338	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	36455	10066051	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5839338/SRR5839338.fastq.gz	3554681	Gurbantunggut	PRJNA376617
SRR5839263	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	35149	9707146	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/003/SRR5839263/SRR5839263.fastq.gz	3315375	Gurbantunggut	PRJNA376617
SRR5839342	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	32838	9068456	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/002/SRR5839342/SRR5839342.fastq.gz	3214033	Gurbantunggut	PRJNA376617
SRR5839344	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	43192	11926222	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/004/SRR5839344/SRR5839344.fastq.gz	3994103	Gurbantunggut	PRJNA376617
SRR5839278	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	36786	10157147	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5839278/SRR5839278.fastq.gz	3194492	Gurbantunggut	PRJNA376617
SRR5839279	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	33597	9278731	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/009/SRR5839279/SRR5839279.fastq.gz	3091831	Gurbantunggut	PRJNA376617
SRR5839351	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	35799	9884227	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5839351/SRR5839351.fastq.gz	3376218	Gurbantunggut	PRJNA376617
SRR5839280	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	34650	9568879	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/000/SRR5839280/SRR5839280.fastq.gz	3292243	Gurbantunggut	PRJNA376617
SRR5839295	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	34714	9586538	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5839295/SRR5839295.fastq.gz	3257413	Gurbantunggut	PRJNA376617
SRR5839296	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	41508	11467510	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/006/SRR5839296/SRR5839296.fastq.gz	3973084	Gurbantunggut	PRJNA376617
SRR5839308	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	43574	12032755	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/008/SRR5839308/SRR5839308.fastq.gz	4069533	Gurbantunggut	PRJNA376617
SRR5839311	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	37399	10327916	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/001/SRR5839311/SRR5839311.fastq.gz	3488078	Gurbantunggut	PRJNA376617
SRR5839315	SAMN07367689	MIMS Environmental/Metagenome sample from soil metagenome		Illumina MiSeq	30254	8357977	44.61742777	83.1616	China:Gurbantunggut Desert	ftp.sra.ebi.ac.uk/vol1/fastq/SRR583/005/SRR5839315/SRR5839315.fastq.gz	2815154	Gurbantunggut	PRJNA376617
