profile_id	site	position	extraction_blank	reads_before	reads_after	removed_read_fraction	richness_before	richness_after	richness_change	shannon_before	shannon_after	shannon_change
V43PRr1	V43	Rhizosphere	EB4	723396	720576	0.00389827978	3677	3662	-15	6.634989806	6.625953722	-0.009036084806
V43PRr2	V43	Rhizosphere	EB15	787772	784214	0.004516535241	3818	3804	-14	6.376422912	6.369558256	-0.006864656406
V43PRr3	V43	Rhizosphere	EB15	943624	942770	0.0009050214916	5602	5595	-7	6.823451123	6.821147733	-0.002303390046
V44Dr1	V44	Deep	EB3	688641	688483	0.0002294373992	1751	1748	-3	6.131545946	6.130713207	-0.0008327388332
V44PRr1	V44	Rhizosphere	EB3	823933	773665	0.06100981512	9333	9300	-33	7.767567935	7.866020928	0.09845299288
V44PRr2	V44	Rhizosphere	EB9	820768	811822	0.01089954774	4801	4793	-8	6.632881184	6.639364219	0.006483035777
V45Dr1	V45	Deep	EB4	672000	671785	0.0003199404762	998	996	-2	4.185311724	4.183543695	-0.001768029348
V45Dr2	V45	Deep	EB15	632897	632314	0.0009211609472	1517	1512	-5	4.275697623	4.271361887	-0.004335736045
V45Dr3	V45	Deep	EB15	425049	424854	0.0004587706359	1641	1639	-2	4.633530684	4.631570755	-0.00195992953
V45PRr1	V45	Rhizosphere	EB4	357216	357107	0.0003051375078	735	733	-2	4.042275508	4.040653313	-0.001622194717
V45PRr2	V45	Rhizosphere	EB15	416030	415809	0.0005312116915	1174	1168	-6	4.135602387	4.132569507	-0.003032879419
V45PRr3	V45	Rhizosphere	EB15	908916	908104	0.0008933718848	2073	2063	-10	4.665105784	4.660236437	-0.004869347374
V45Sr3	V45	Surface	EB15	603083	602224	0.001424347892	3280	3275	-5	6.055718799	6.052152365	-0.00356643462
V46PRr1	V46	Rhizosphere	EB4	305383	304591	0.0025934646	2625	2620	-5	5.833745058	5.827350453	-0.00639460424
V46PRr2	V46	Rhizosphere	EB10	444029	440614	0.007690939105	3447	3443	-4	5.980673847	5.979997327	-0.0006765204865
V46PRr3	V46	Rhizosphere	EB10	592143	591553	0.0009963809418	2124	2117	-7	5.593172634	5.589274959	-0.00389767574
V47PRr1	V47	Rhizosphere	EB4	631747	630319	0.002260398546	3769	3765	-4	6.326691371	6.322987393	-0.003703977946
V47PRr2	V47	Rhizosphere	EB11	489175	488428	0.001527060868	3912	3906	-6	6.214977301	6.211343317	-0.003633983629
V47PRr3	V47	Rhizosphere	EB11	602884	601770	0.00184778498	4502	4498	-4	6.399731476	6.396256148	-0.003475328215
V48Dr1	V48	Deep	EB6	640336	640042	0.0004591339547	1411	1407	-4	5.024744728	5.022658631	-0.002086096722
V48Dr2	V48	Deep	EB13	582278	581310	0.001662436156	1983	1971	-12	5.30811105	5.301044479	-0.007066570357
V48Dr3	V48	Deep	EB13	683205	678385	0.007054983497	1529	1511	-18	5.407960798	5.386887531	-0.02107326678
V48PRr1	V48	Rhizosphere	EB4	951132	949598	0.001612815046	1581	1566	-15	5.110546221	5.102828742	-0.007717478881
V49Dr2	V49	Deep	EB13	734681	734140	0.0007363740181	2434	2430	-4	4.892507638	4.889171703	-0.003335934385
V4Dr1	V4	Deep	EB5	709278	693426	0.02234948779	6228	6204	-24	7.187084818	7.201482143	0.01439732501
V4Dr2	V4	Deep	EB8	1204226	1066020	0.1147674938	9637	9599	-38	7.329603057	7.586744252	0.2571411945
V4Dr3	V4	Deep	EB8	771595	756650	0.01936896947	5892	5870	-22	6.77855231	6.778789665	0.0002373545728
V4PRr1	V4	Rhizosphere	EB5	1022303	1007102	0.01486936847	3978	3961	-17	5.575608722	5.557200049	-0.01840867338
V4PRr2	V4	Rhizosphere	EB8	895149	882368	0.01427806991	4960	4945	-15	6.357655568	6.349172626	-0.008482941362
V4PRr3	V4	Rhizosphere	EB8	629011	620673	0.01325573003	3917	3899	-18	6.212835531	6.200047194	-0.01278833698
V4Sr1	V4	Surface	EB5	1776802	1774918	0.00106033199	6583	6567	-16	6.854248325	6.850535632	-0.003712692931
V4Sr3	V4	Surface	EB8	1002454	997136	0.005304981575	4838	4825	-13	6.805178647	6.803762632	-0.001416014649
V50PRr2	V50	Rhizosphere	EB14	549271	547207	0.003757707944	2424	2417	-7	6.052954006	6.044753848	-0.008200158479
V51PRr2	V51	Rhizosphere	EB14	365455	362011	0.009423868876	2400	2396	-4	5.711780619	5.700786737	-0.01099388151
V51PRr3	V51	Rhizosphere	EB14	329373	321991	0.0224122803	1039	1035	-4	4.98249454	4.958771151	-0.02372338861
V53PRr2	V53	Rhizosphere	EB13	552895	550912	0.003586576113	609	606	-3	2.159099744	2.142767517	-0.01633222718
V54PRr1	V54	Rhizosphere	EB5	360035	359791	0.0006777118891	1818	1813	-5	5.438864105	5.436124926	-0.002739179362
V54PRr2	V54	Rhizosphere	EB13	688597	687646	0.001381069043	2009	2003	-6	5.829290003	5.824770106	-0.004519897014
V54PRr3	V54	Rhizosphere	EB13	448796	447738	0.002357418515	2308	2298	-10	5.521715046	5.514354594	-0.007360452394
V55Dr1	V55	Deep	EB5	697209	696965	0.0003499667962	1138	1132	-6	4.559510369	4.557371152	-0.002139217874
V55PRr1	V55	Rhizosphere	EB5	1747691	1745987	0.0009750007295	2253	2242	-11	5.090592607	5.085997711	-0.004594895972
V55PRr2	V55	Rhizosphere	EB13	549108	548136	0.001770143578	1813	1803	-10	5.255825847	5.248651354	-0.007174492491
V55PRr3	V55	Rhizosphere	EB13	807870	805799	0.002563531261	2405	2395	-10	5.49807517	5.489856246	-0.008218923656
V55Sr2	V55	Surface	EB13	389009	388852	0.0004035896342	911	906	-5	4.772139095	4.769897787	-0.002241307436
V55Sr3	V55	Surface	EB13	388034	388024	2.57709376e-05	1095	1094	-1	4.868411918	4.868239304	-0.0001726140225
V57PRr2	V57	Rhizosphere	EB13	263826	262770	0.004002638102	1904	1899	-5	5.382608744	5.375912694	-0.006696049818
V57PRr3	V57	Rhizosphere	EB13	748550	746952	0.002134793935	1826	1813	-13	4.513376267	4.502907697	-0.01046856944
V58PRr1	V58	Rhizosphere	EB5	375791	312527	0.1683488961	2002	1992	-10	5.662333941	5.909973862	0.2476399215
V58PRr2	V58	Rhizosphere	EB16	348421	279545	0.1976803924	1501	1491	-10	5.155652987	5.485574282	0.3299212945
V58PRr3	V58	Rhizosphere	EB16	648764	547512	0.156069079	1901	1890	-11	5.572557649	5.824772074	0.2522144245
V5Dr1	V5	Deep	EB1	1024357	756112	0.2618667125	8024	7943	-81	7.317558433	7.771675189	0.4541167556
V5PRr1	V5	Rhizosphere	EB1	1009579	928592	0.08021858616	8132	8062	-70	7.421106775	7.460483999	0.03937722414
V5PRr2	V5	Rhizosphere	EB14	667044	630606	0.05462608164	5008	4954	-54	6.917300272	6.920132855	0.002832583659
