contrast	first_compartment	second_compartment	genus	phylum	n_sites	n_blocks	mean_clr_difference	ci_low	ci_high	sign_flip_p	committed_loading	q_bh_600	supported_q_lt_0_05	higher_in
Deep-Surface	shallow_subsurface	surface	Adhaeribacter	Bacteroidota	60	183	-0.1061760111	-0.3750351021	0.1533620521	0.442	-0.1061760111	0.5346774194	False	surface
Deep-Surface	shallow_subsurface	surface	Microvirga	Pseudomonadota	60	183	-0.101533655	-0.3337422535	0.1452663795	0.4104	-0.101533655	0.5056262834	False	surface
Deep-Surface	shallow_subsurface	surface	Sphingomonas	Pseudomonadota	60	183	-0.08876127515	-0.3904819062	0.1916888333	0.56	-0.08876127515	0.6499032882	False	surface
Deep-Surface	shallow_subsurface	surface	Mangrovihabitans	Actinomycetota	60	183	-0.08737569995	-0.6911251723	0.5222193185	0.7753	-0.08737569995	0.8321645796	False	surface
Deep-Surface	shallow_subsurface	surface	Actinophytocola	Actinomycetota	60	183	-0.06951544036	-0.4769050648	0.3460469747	0.7544	-0.06951544036	0.8170397112	False	surface
Deep-Surface	shallow_subsurface	surface	Thermobaculum	Chloroflexota	60	183	-0.06515370128	-0.4345476365	0.2876744752	0.7349	-0.06515370128	0.8031693989	False	surface
Deep-Surface	shallow_subsurface	surface	TM7a	Patescibacteria	60	183	-0.056334954	-0.5129295341	0.414108965	0.8162	-0.056334954	0.8637037037	False	surface
Deep-Surface	shallow_subsurface	surface	Mesobacillus	Bacillota	60	183	-0.04227014863	-0.4995115621	0.4281100117	0.8645	-0.04227014863	0.9020869565	False	surface
Deep-Surface	shallow_subsurface	surface	Bradyrhizobium	Pseudomonadota	60	183	-0.03390750255	-0.5646907757	0.5183805421	0.8985	-0.03390750255	0.9294320138	False	surface
Deep-Surface	shallow_subsurface	surface	Enterococcus	Bacillota	60	183	-0.02405364188	-0.5817670425	0.4961726582	0.9246	-0.02405364188	0.9515608919	False	surface
Deep-Surface	shallow_subsurface	surface	Streptomyces	Actinomycetota	60	183	-0.01516864508	-0.3559533434	0.3682869567	0.9363	-0.01516864508	0.9570357751	False	surface
Deep-Surface	shallow_subsurface	surface	Nesterenkonia	Actinomycetota	60	183	-0.01147661111	-0.3443533374	0.3290987936	0.9522	-0.01147661111	0.9634401349	False	surface
Deep-Surface	shallow_subsurface	surface	Neobacillus	Bacillota	60	183	-0.0091759836	-0.413125524	0.318143216	0.9625	-0.0091759836	0.9705882353	False	surface
Deep-Surface	shallow_subsurface	surface	Nocardioides	Actinomycetota	60	183	-0.003791073451	-0.25873918	0.2700409843	0.9777	-0.003791073451	0.9820367279	False	surface
Deep-Surface	shallow_subsurface	surface	MM2	Pseudomonadota	60	183	0.004982084898	-0.384421585	0.3920120384	0.9803	0.004982084898	0.9820367279	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Truepera	Deinococcota	60	183	0.00550120521	-0.4222483183	0.4754784521	0.9804	0.00550120521	0.9820367279	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Fictibacillus	Bacillota	60	183	0.005879688961	-0.4953201404	0.4749121788	0.9784	0.005879688961	0.9820367279	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Lysinibacillus	Bacillota	60	183	0.009915608444	-0.2728694312	0.3110698582	0.9465	0.009915608444	0.9607094595	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Methylobacillus	Pseudomonadota	60	183	0.01143650733	-0.4097803544	0.4290697976	0.958	0.01143650733	0.9676767677	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Sandaracinobacter	Pseudomonadota	60	183	0.01540898008	-0.4388305874	0.473336422	0.9479	0.01540898008	0.9607094595	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Chelativorans	Pseudomonadota	60	183	0.0304325461	-0.3874889866	0.445192723	0.887	0.0304325461	0.9191709845	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Kallotenue	Chloroflexota	60	183	0.04043171044	-0.3933574227	0.4916009692	0.859	0.04043171044	0.8994764398	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Phenylobacterium	Pseudomonadota	60	183	0.0413190682	-0.2962807147	0.342311177	0.8036	0.0413190682	0.853380531	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Ellin6055	Pseudomonadota	60	183	0.05125977665	-0.2676408217	0.3933714629	0.761	0.05125977665	0.8212230216	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Rubrobacter	Actinomycetota	60	183	0.05408033007	-0.3377082639	0.4175082888	0.7837	0.05408033007	0.8371174377	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Aeromicrobium	Actinomycetota	60	183	0.05737797322	-0.3137841898	0.4155651482	0.7573	0.05737797322	0.8187027027	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Peribacillus	Bacillota	60	183	0.06678038218	-0.2744362875	0.4175970323	0.698	0.06678038218	0.7754528651	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Roseicella	Pseudomonadota	60	183	0.07355285331	-0.2333973371	0.3987061966	0.6595	0.07355285331	0.7424015009	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Brevibacillus	Bacillota	60	183	0.07725512257	-0.4570098261	0.6034280496	0.7841	0.07725512257	0.8371174377	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Brucella	Pseudomonadota	60	183	0.07876165894	-0.5486216902	0.7364510689	0.8218	0.07876165894	0.8680985915	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Luteitalea	Acidobacteriota	60	183	0.07982923203	-0.2549432109	0.3791931029	0.6557	0.07982923203	0.7398496241	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Daejeonella	Bacteroidota	60	183	0.08776811372	-0.2884089761	0.4832686672	0.6559	0.08776811372	0.7398496241	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Caenimonas	Pseudomonadota	60	183	0.09066071494	-0.3240225072	0.4769438766	0.6688	0.09066071494	0.7500560748	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Lautropia	Pseudomonadota	60	183	0.09141176879	-0.2325985576	0.4141974431	0.5867	0.09141176879	0.6692395437	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Luedemannella	Actinomycetota	60	183	0.09247862597	-0.3756757418	0.5530505957	0.7061	0.09247862597	0.7816574586	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Aquibacillus	Bacillota	60	183	0.09358839729	-0.3051460819	0.4711833328	0.661	0.09358839729	0.7426966292	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Escherichia-Shigella	Pseudomonadota	60	183	0.09861665667	-0.3891152209	0.5715716512	0.6912	0.09861665667	0.7696474954	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Conexibacter	Actinomycetota	60	183	0.1257272569	-0.1748536798	0.4489145632	0.4376	0.1257272569	0.5325760649	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Saccharothrix	Actinomycetota	60	183	0.1295907556	-0.3682275577	0.6218479296	0.6139	0.1295907556	0.6976136364	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Oxalophagus	Bacillota	60	183	0.1417144597	-0.2062196901	0.4820283984	0.4522	0.1417144597	0.5428742515	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	DSSF69	Pseudomonadota	60	183	0.1462022246	-0.3357303008	0.6384952796	0.5531	0.1462022246	0.6431395349	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Ramlibacter	Pseudomonadota	60	183	0.1481680269	-0.152581696	0.4516884805	0.3458	0.1481680269	0.4349685535	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Aridibacter	Acidobacteriota	60	183	0.1517680464	-0.3656822177	0.6156152594	0.5457	0.1517680464	0.6357669903	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Peredibacter	Bdellovibrionota	60	183	0.161178101	-0.1988568726	0.5286147453	0.404	0.161178101	0.4987654321	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Croceibacterium	Pseudomonadota	60	183	0.175709405	-0.246006164	0.6265785539	0.453	0.175709405	0.5428742515	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Acinetobacter	Pseudomonadota	60	183	0.178216377	-0.2750837662	0.6248572314	0.4357	0.178216377	0.5313414634	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Crossiella	Actinomycetota	60	183	0.1790806396	-0.2071621006	0.5572809589	0.358	0.1790806396	0.448434238	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Nitrolancea	Chloroflexota	60	183	0.1864477831	-0.1174248594	0.518172094	0.2619	0.1864477831	0.3423529412	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Pedomicrobium	Pseudomonadota	60	183	0.1888989606	-0.2518763144	0.6219493441	0.4017	0.1888989606	0.4969484536	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Caulobacter	Pseudomonadota	60	183	0.2140857528	-0.1879513966	0.5972474917	0.2954	0.2140857528	0.3779104478	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	YC-ZSS-LKJ147	Gemmatimonadota	60	183	0.2289021403	-0.2243596615	0.6579804428	0.3283	0.2289021403	0.4155696203	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Litorilinea	Chloroflexota	60	183	0.2476543718	-0.1568696571	0.6496139342	0.2252	0.2476543718	0.3002666667	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Dongia	Pseudomonadota	60	183	0.2508759994	-0.1812566733	0.6748359214	0.281	0.2508759994	0.3625806452	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Nitrosomonas	Pseudomonadota	60	183	0.2567114693	-0.05904412474	0.6049519487	0.1391	0.2567114693	0.2011084337	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Blastocatella	Acidobacteriota	60	183	0.2595518341	-0.1770842013	0.6806872074	0.2425	0.2595518341	0.3201758242	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Marmoricola	Actinomycetota	60	183	0.2745659086	-0.04464333151	0.6124262301	0.1144	0.2745659086	0.174213198	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	SM1A02	Planctomycetota	60	183	0.2795435499	-0.1426362775	0.7054025809	0.2144	0.2795435499	0.2871428571	False	shallow_subsurface
Deep-Surface	shallow_subsurface	surface	Bacillus	Bacillota	60	183	0.2807343648	0.01675402733	0.582679568	0.0554	0.2807343648	0.09634782609	False	shallow_subsurface
