genus	phylum	spearman_rho_dune_sites	p_value	spearman_rho_all_sites	supported_all_sites	q_bh_200	supported_dune_sites	same_sign
Niallia	Bacillota	-0.2618745595	0.08594591372	-0.2955265351	True	0.1705366709	False	True
Saccharopolyspora	Actinomycetota	-0.2617336152	0.08612101883	-0.3131981106	True	0.1705366709	False	True
Segetibacter	Bacteroidota	-0.2608879493	0.08717748859	-0.5148652403	True	0.1709362521	False	True
Luedemannella	Actinomycetota	-0.2518675123	0.09908347122	-0.05373714921	False	0.1884285968	False	True
Phenylobacterium	Pseudomonadota	-0.2363636364	0.1224182087	-0.3476521256	True	0.2267003864	False	True
Arcticibacter	Bacteroidota	-0.230584919	0.132100505	-0.3949986107	True	0.2423862477	False	True
Subgroup 10	Acidobacteriota	-0.2238195913	0.1441493615	-0.07913309253	False	0.2597285792	False	True
Actinomadura	Actinomycetota	-0.2021141649	0.188273317	-0.3749374826	True	0.3256148264	False	True
Sphingoaurantiacus	Pseudomonadota	-0.2011275546	0.1904846735	-0.4102250625	True	0.3256148264	False	True
Flavisolibacter	Bacteroidota	-0.1997181113	0.1936756306	-0.4142261739	True	0.3276681422	False	True
