task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
68	73/5a56db	51032257	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_STATS (A)	COMPLETED	0	2026-08-30 15:05:20.972	14.9s	8s	101.5%	765.8 MB	1.3 GB	84.9 MB	1.5 KB
69	54/bf6704	51032336	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_MERGE	COMPLETED	0	2026-08-30 15:05:36.964	13.9s	5s	101.8%	588.6 MB	1.1 GB	36.3 MB	13 MB
71	2e/0ac393	51032386	NFCORE_AMPLISEQ:AMPLISEQ:MERGE_STATS_STD (1)	COMPLETED	0	2026-08-30 15:05:51.051	4.8s	0ms	187.3%	3 MB	4.3 MB	5.9 MB	2 KB
70	d0/28f2a8	51032385	NFCORE_AMPLISEQ:AMPLISEQ:BARRNAP (ASV_seqs.fasta)	COMPLETED	0	2026-08-30 15:05:51.002	1m 55s	1m 48s	365.3%	117 MB	409.3 MB	141.4 MB	144.2 MB
74	c1/ff14a5	51032556	NFCORE_AMPLISEQ:AMPLISEQ:BARRNAPSUMMARY	COMPLETED	0	2026-08-30 15:07:45.967	4.9s	0ms	79.8%	9 MB	33.1 MB	4.8 MB	722 KB
73	28/752a23	51032388	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_TAXONOMY_WF:DADA2_TAXONOMY (ASV_seqs.2.fasta,assignTaxonomy.fna)	COMPLETED	0	2026-08-30 15:05:51.150	4m 25s	4m 21s	1004.9%	7.9 GB	11 GB	1.3 GB	1.7 MB
72	e7/595117	51032387	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_TAXONOMY_WF:DADA2_TAXONOMY (ASV_seqs.1.fasta,assignTaxonomy.fna)	COMPLETED	0	2026-08-30 15:05:51.105	6m 35s	6m 29s	1149.8%	8.6 GB	11.6 GB	1.3 GB	6.2 MB
75	3d/902910	51032846	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_TAXONOMY_WF:DADA2_ADDSPECIES (ASV_seqs.2.ASV_tax.silva_138_2.rds,addSpecies.fna.gz)	COMPLETED	0	2026-08-30 15:10:15.979	5m 15s	5m 9s	99.2%	5.3 GB	5.6 GB	173.3 MB	1.4 MB
76	0c/8bed6f	51032949	NFCORE_AMPLISEQ:AMPLISEQ:DADA2_TAXONOMY_WF:DADA2_ADDSPECIES (ASV_seqs.1.ASV_tax.silva_138_2.rds,addSpecies.fna.gz)	COMPLETED	0	2026-08-30 15:12:25.979	3m 50s	3m 45s	99.2%	19.1 GB	23.1 GB	174.1 MB	5.2 MB
77	19/2aefd2	51033194	NFCORE_AMPLISEQ:AMPLISEQ:ROBJECT_WORKFLOW:TREESUMMARIZEDEXPERIMENT (dada2)	COMPLETED	0	2026-08-30 15:16:16.487	9.4s	5s	103.4%	715.9 MB	1.3 GB	46.1 MB	1.4 MB
78	fd/3e4ad4	51033193	NFCORE_AMPLISEQ:AMPLISEQ:ROBJECT_WORKFLOW:PHYLOSEQ (dada2)	COMPLETED	0	2026-08-30 15:16:16.443	9.5s	4s	97.4%	458.1 MB	987.8 MB	46.3 MB	1.4 MB
79	0b/13735e	51033237	NFCORE_AMPLISEQ:AMPLISEQ:MULTIQC	COMPLETED	0	2026-08-30 15:16:26.014	39.9s	16.5s	48.9%	736.5 MB	9.7 GB	120.9 MB	41 MB
80	d9/e16b94	51033314	NFCORE_AMPLISEQ:AMPLISEQ:SUMMARY_REPORT (1)	COMPLETED	0	2026-08-30 15:17:06.395	19.5s	3.7s	78.0%	261.5 MB	1 TB	37 MB	4 MB
